Url,Name,Price,Rating,No of Reviews
/Nivia-5177SB-Polyester-String-Blue/dp/B071XMLFTL,NIVIA String Bag/Drawstring Bag/Sports Bag Boys/Polyester String Bag/Kit Bags/Drawstring Sports Bag/Dori Backpack/Gym Bag/String Bag Men Waterproof/Drawstring Backpack (Sky Blue),193,4.1,(456)
/FloMotif-Business-Shoulder-material-resistant/dp/B07NHYLTY7,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - FloMotif,"1,699",4.4,"(1,842)"
/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,440,3.9,"(2,527)"
/POLESTAR-%C3%82-POLESTAR-Ranker-Bagpack-Backpack/dp/B084C84GTR,"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",669,4.1,"(7,614)"
/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JM98M1,"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure","1,670",4.3,(73)
/Lavie-Beech-Womens-Handbag-Lt-Gold/dp/B078XXYNM8,Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,"1,197",4.2,"(3,768)"
/Resistant-Duffle-Shoulder-Separate-Compartment/dp/B09KVBSG61,"Wooum Gym Bag Sport Outdoor Bag, Shoulder Bag Side Bag with Separate Shoes Compartment Water Resistance - Dark Grey",397.,4.2,(466)
/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,3.6,(361)
/ADISA-litres-Laptop-Backpack-Earphone/dp/B08RWCLFHY,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs BP032 (Teal-Red),499,4.0,(164)
/Wooum-Mobile-Travel-Messenger-Leather/dp/B0B24ZG3J3,Wooum Slim Cross Body Travel Mobile Pouch Sling Messenger Bag for Women Girls lady's Mobile Bag,284.,4.1,(67)
/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",429,3.9,"(1,241)"
/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"1,181",4.2,"(1,364)"
